category,query_id,range_start,range_end,result_count,time_ms,io_count
1,137,1226275046,1226277250,1,0.003418,3
1,138,1229279816,1229282020,0,0.003418,3
1,139,1238621628,1238623832,0,0.003174,3
1,140,1234492949,1234495153,0,0.003418,3
1,141,1232067593,1232069797,0,0.003418,3
1,142,1232596755,1232598959,0,0.003174,3
1,143,1240259359,1240261563,0,0.003662,3
1,144,1232192261,1232194465,0,0.003418,3
1,145,1241103071,1241105275,0,0.003174,3
1,146,1228342876,1228345080,0,0.003418,3
1,147,1239107490,1239109694,0,0.003174,3
1,148,1226520729,1226522933,0,0.003418,3
1,149,1233559568,1233561772,0,0.003418,3
1,150,1232632600,1232634804,0,0.003174,3
1,151,1236123352,1236125556,1,0.003418,3
1,152,1239537259,1239539463,0,0.003418,3
1,153,1240643887,1240646091,2,0.003174,3
1,154,1235793020,1235795224,3,0.003418,3
1,155,1236256866,1236259070,0,0.003418,3
1,156,1233489959,1233492163,0,0.003174,3
1,157,1242185302,1242187506,0,0.003418,3
1,158,1228867016,1228869220,1,0.003906,3
1,159,1232440050,1232442254,0,0.003174,3
1,160,1236955517,1236957721,0,0.003662,3
1,161,1226521509,1226523713,0,0.003174,3
1,162,1229873629,1229875833,0,0.003418,3
1,163,1234264764,1234266968,2,0.003418,3
1,164,1235164527,1235166731,0,0.003662,3
1,165,1229530460,1229532664,0,0.003174,3
1,166,1237919994,1237922198,0,0.003418,3
1,167,1246573562,1246575766,0,0.003418,3
1,168,1244631862,1244634066,0,0.003174,3
1,169,1233108319,1233110523,0,0.003418,3
1,170,1235362072,1235364276,0,0.003418,3
1,171,1231137628,1231139832,0,0.003174,3
1,172,1234706913,1234709117,0,0.003174,3
1,173,1231572868,1231575072,0,0.003418,3
1,174,1231102919,1231105123,0,0.003174,3
1,175,1234662859,1234665063,0,0.003418,3
1,176,1238867057,1238869261,0,0.003174,3
1,177,1226109680,1226111884,0,0.003418,3
1,178,1235990213,1235992417,0,0.003418,3
1,179,1232480059,1232482263,0,0.003174,3
1,180,1241563937,1241566141,0,0.004395,4
1,181,1234196970,1234199174,0,0.003418,3
1,182,1229126215,1229128419,0,0.003662,3
1,183,1224746646,1224748850,0,0.003418,3
1,184,1238801446,1238803650,4,0.003662,3
1,185,1230718536,1230720740,0,0.003662,3
1,186,1228686544,1228688748,0,0.003174,3
1,187,1244556109,1244558313,0,0.003418,3
1,188,1242309339,1242311543,0,0.003174,3
1,189,1233736527,1233738731,0,0.003418,3
1,190,1226954498,1226956702,0,0.003418,3
1,191,1239604303,1239606507,0,0.002930,3
1,192,1246016312,1246018516,0,0.003662,3
1,193,1230704296,1230706500,0,0.004639,3
1,194,1226370466,1226372670,1,0.011719,3
1,195,1238673869,1238676073,0,0.004883,3
1,196,1237386152,1237388356,0,0.029297,3
1,197,1228657894,1228660098,3,0.013428,3
1,198,1244321067,1244323271,0,0.004639,3
1,199,1234562404,1234564608,0,0.004639,3
2,200,1226992172,1226992392,0,0.009521,3
2,201,1228315497,1228315717,0,0.003174,3
2,202,1244799060,1244799280,0,0.003418,3
2,203,1234766201,1234766421,0,0.004639,4
2,204,1242732167,1242732387,1,0.004150,3
2,205,1233945398,1233945618,0,0.003418,3
2,206,1234178218,1234178438,0,0.003418,3
2,207,1231863203,1231863423,0,0.003418,3
2,208,1227000572,1227000792,0,0.002930,3
2,209,1229015424,1229015644,0,0.003418,3
2,210,1230035176,1230035396,0,0.003662,3
2,211,1244116069,1244116289,0,0.003174,3
2,212,1234523973,1234524193,0,0.003418,3
2,213,1229303567,1229303787,0,0.003662,3
2,214,1228309231,1228309451,1,0.003174,3
2,215,1228550084,1228550304,1,0.003662,3
